,Time,Status,Message
0,0 days 00:00:00,2,Yellow
1,0 days 00:07:57.070000,1,AllClear
2,0 days 01:03:01.414000,2,Yellow
3,0 days 01:03:10.010000,1,AllClear
4,0 days 01:03:21.515000,6,VSCDeployed
5,0 days 01:04:00.484000,7,VSCEnding
6,0 days 01:04:10.726000,1,AllClear
7,0 days 01:39:26.397000,2,Yellow
8,0 days 01:39:40.973000,4,SCDeployed
9,0 days 01:50:52.042000,1,AllClear
10,0 days 01:53:07.940000,2,Yellow
11,0 days 01:53:17.838000,1,AllClear
12,0 days 02:06:06.050000,2,Yellow
13,0 days 02:06:32.398000,1,AllClear
14,0 days 02:09:25.958000,2,Yellow
15,0 days 02:10:03.983000,6,VSCDeployed
16,0 days 02:10:59.312000,7,VSCEnding
17,0 days 02:11:10.949000,1,AllClear
