,race_id,Time,Status,Message
0,1011,0 days 00:11:35.413000,1,AllClear
1,1011,0 days 00:11:35.413000,2,Yellow
2,1011,0 days 00:11:35.413000,1,AllClear
3,1011,0 days 00:34:13.604000,2,Yellow
4,1011,0 days 00:34:15.208000,1,AllClear
5,1011,0 days 00:34:21.300000,2,Yellow
6,1011,0 days 00:34:23.498000,1,AllClear
7,1011,0 days 00:34:41.968000,2,Yellow
8,1011,0 days 00:34:47.654000,1,AllClear
9,1011,0 days 00:34:57.343000,2,Yellow
10,1011,0 days 00:35:15.885000,1,AllClear
11,1011,0 days 00:36:00.703000,2,Yellow
12,1011,0 days 00:36:04.956000,1,AllClear
13,1011,0 days 00:39:02.300000,2,Yellow
14,1011,0 days 00:39:17.245000,1,AllClear
15,1011,0 days 00:42:29.779000,2,Yellow
16,1011,0 days 00:42:37.415000,1,AllClear
17,1011,0 days 00:52:59.771000,2,Yellow
18,1011,0 days 00:53:09.611000,1,AllClear
19,1011,0 days 01:34:27.384000,2,Yellow
20,1011,0 days 01:34:37.647000,1,AllClear
21,1011,0 days 01:38:46.084000,2,Yellow
22,1011,0 days 01:38:54.802000,1,AllClear
23,1011,0 days 01:42:50.190000,2,Yellow
24,1011,0 days 01:42:58.341000,1,AllClear
25,1011,0 days 02:00:47.445000,2,Yellow
26,1011,0 days 02:02:15.423000,4,SCDeployed
