,race_id,Time,Status,Message
0,992,0 days 00:08:08.035000,2,Yellow
1,992,0 days 00:08:31.311000,4,SCDeployed
2,992,0 days 00:20:55.542000,1,AllClear
3,992,0 days 00:29:45.887000,2,Yellow
4,992,0 days 00:29:57.038000,1,AllClear
5,992,0 days 00:31:56.943000,2,Yellow
6,992,0 days 00:32:11.113000,1,AllClear
7,992,0 days 00:38:24.721000,2,Yellow
8,992,0 days 00:39:20.846000,1,AllClear
9,992,0 days 00:39:21.089000,2,Yellow
10,992,0 days 00:39:24.030000,1,AllClear
11,992,0 days 00:44:33.894000,2,Yellow
12,992,0 days 00:44:46.392000,1,AllClear
13,992,0 days 00:48:45.019000,2,Yellow
14,992,0 days 00:48:56.143000,1,AllClear
15,992,0 days 01:23:08.659000,2,Yellow
16,992,0 days 01:23:50.402000,4,SCDeployed
17,992,0 days 01:44:03.406000,1,AllClear
18,992,0 days 01:46:30.618000,2,Yellow
19,992,0 days 01:46:34.249000,1,AllClear
20,992,0 days 01:46:44.106000,2,Yellow
21,992,0 days 01:47:59.907000,1,AllClear
